iter	MultiClass
0	1.069490263
1	1.044571595
2	1.014549313
3	0.988658737
4	0.966124636
5	0.946711785
6	0.9284392622
7	0.9092302333
8	0.8935336432
9	0.8785684915
10	0.8612187731
11	0.8466811298
12	0.832835852
13	0.8165435955
14	0.8028788008
15	0.7926454145
16	0.7810111041
17	0.7666519116
18	0.7510154388
19	0.74230249
20	0.7318938652
21	0.7208447318
22	0.7112572298
23	0.7011704983
24	0.6922733295
25	0.6809160702
26	0.6721928942
27	0.6625130855
28	0.6560916102
29	0.6471244247
30	0.6383116955
31	0.6286809903
32	0.6190670681
33	0.6120269808
34	0.6035096592
35	0.59511408
36	0.5894490866
37	0.5804605289
38	0.5737580034
39	0.5656512104
40	0.5585767047
41	0.5505432719
42	0.5443732797
43	0.5382085323
44	0.5320264118
45	0.5256090011
46	0.519200998
47	0.5118454094
48	0.5039320801
49	0.4970990928
50	0.4919159231
51	0.4848879969
52	0.4793590705
53	0.4725786285
54	0.467279256
55	0.4602467079
56	0.4541585986
57	0.4492760483
58	0.4447554477
59	0.4414030376
60	0.4374831842
61	0.4317180171
62	0.4265317661
63	0.4231341861
64	0.4192080718
65	0.4161524788
66	0.4109687191
67	0.4065078424
68	0.4034210435
69	0.3993311635
70	0.3958323281
71	0.3919325029
72	0.3859117223
73	0.3821483247
74	0.3775525938
75	0.3732105095
76	0.3694759578
77	0.3660245541
78	0.3617924773
79	0.3573832937
80	0.3543864413
81	0.3508927522
82	0.3467065666
83	0.3426133104
84	0.3392868943
85	0.3366634971
86	0.3325634884
87	0.32953543
88	0.3262717865
89	0.3232323209
90	0.3203251856
91	0.3167652495
92	0.3136352146
93	0.3107455834
94	0.3077616461
95	0.3043823898
96	0.3016427242
97	0.2990247356
98	0.2967068419
99	0.2942733355
100	0.2915414714
101	0.2884263839
102	0.2843956707
103	0.2824070456
104	0.2796136219
105	0.277636273
106	0.2758585503
107	0.2725842534
108	0.2699506782
109	0.267600415
110	0.265354767
111	0.2625375946
112	0.2598565549
113	0.2575071767
114	0.2550037191
115	0.253250794
116	0.2507518436
117	0.2481952016
118	0.2466219237
119	0.243937016
120	0.241716854
121	0.239384308
122	0.2376179106
123	0.2353536932
124	0.2334213175
125	0.2319041087
126	0.2299145167
127	0.2278937843
128	0.2259158125
129	0.2247673715
130	0.2231610848
131	0.2212375432
132	0.2195461122
133	0.217910783
134	0.2163010709
135	0.2148004485
136	0.2128851181
137	0.2105905633
138	0.2089312397
139	0.2072212719
140	0.2055578508
141	0.2040292512
142	0.2016542232
143	0.1995488545
144	0.1978600786
145	0.1955189935
146	0.1938267102
147	0.1916080233
148	0.1899644829
149	0.1883768477
150	0.1866476385
151	0.1849806117
152	0.1833988931
153	0.181539091
154	0.1799837926
155	0.1790001661
156	0.1770411736
157	0.1757993114
158	0.1743801293
159	0.1725996532
160	0.171122091
161	0.1694641277
162	0.1683344365
163	0.1672875295
164	0.1660475849
165	0.1642190542
166	0.163134959
167	0.1616898976
168	0.1599590822
169	0.1589082089
170	0.1573138703
171	0.155842651
172	0.1549497742
173	0.1535943479
174	0.1527790434
175	0.1514273212
176	0.1504965023
177	0.1497224507
178	0.148457561
179	0.1469069992
180	0.1456172628
181	0.1438676156
182	0.1428532093
183	0.1414096394
184	0.1402514793
185	0.1391017762
186	0.1379275378
187	0.1368856543
188	0.135724208
189	0.1348531459
190	0.1343008875
191	0.1333053294
192	0.1325678349
193	0.1316341642
194	0.1309470352
195	0.1300959111
196	0.1288840174
197	0.1277988487
198	0.1270560686
199	0.1264873058
200	0.125492559
201	0.1246630938
202	0.1235780808
203	0.1224541997
204	0.1214929697
205	0.120822968
206	0.1200177923
207	0.1194834643
208	0.1189078096
209	0.1179373277
210	0.1169759093
211	0.1162932219
212	0.1155883265
213	0.1148172905
214	0.1140543347
215	0.1131138622
216	0.1125380765
217	0.1117646968
218	0.1109884817
219	0.110329502
220	0.1097467834
221	0.1090249083
222	0.108140382
223	0.1072949943
224	0.106761371
225	0.1063203084
226	0.1054076657
227	0.1046352858
228	0.1039214334
229	0.1032822688
230	0.1026736136
231	0.1018986195
232	0.100866119
233	0.1003176631
234	0.09977887704
235	0.09917916237
236	0.09860454031
237	0.09764871075
238	0.09689520355
239	0.09617993348
240	0.09544714283
241	0.09476128403
242	0.09405858483
243	0.09361848104
244	0.09323521664
245	0.09260613168
246	0.09200058229
247	0.09145671545
248	0.0909262144
249	0.09020853504
250	0.08956541231
251	0.08890885825
252	0.08840095037
253	0.08807993396
254	0.08766003864
255	0.08710960773
256	0.08646465756
257	0.08582433748
258	0.08505332611
259	0.08453521565
260	0.08396328149
261	0.08322259921
262	0.08256776607
263	0.08210946154
264	0.08171294609
265	0.08123277773
266	0.08060536451
267	0.080021597
268	0.07952644848
269	0.07904239577
270	0.07844801594
271	0.07808278839
272	0.07767913523
273	0.07725224971
274	0.0769512451
275	0.07645766179
276	0.07609764615
277	0.07566999032
278	0.07523912211
279	0.07473041932
280	0.07415478929
281	0.07361683093
282	0.07306140117
283	0.07253223587
284	0.0720808232
285	0.0717013776
286	0.0711620507
287	0.07061168535
288	0.07017189296
289	0.06959686115
290	0.06918839763
291	0.06891995111
292	0.06850283794
293	0.06788522985
294	0.06755257267
295	0.06719053701
296	0.06683465976
297	0.06640995816
298	0.06606164885
299	0.0656559265
300	0.06519526595
301	0.06497733652
302	0.06471168035
303	0.06433720901
304	0.06398194638
305	0.06368723541
306	0.06328665122
307	0.0630172623
308	0.06254250663
309	0.06194586503
310	0.06153433664
311	0.06112371377
312	0.06085227204
313	0.06042087936
314	0.06008846394
315	0.0596341421
316	0.05926745586
317	0.05884401217
318	0.05848028017
319	0.05810013801
320	0.0578589844
321	0.05751127741
322	0.05719860745
323	0.05685176501
324	0.05660439562
325	0.05630854556
326	0.05592375283
327	0.0556470705
328	0.05542093803
329	0.05511345131
330	0.05475899177
331	0.05444641195
332	0.05417456048
333	0.05376262235
334	0.05351763355
335	0.05318324317
336	0.05293335797
337	0.05274751133
338	0.05240349611
339	0.05208921176
340	0.05180038469
341	0.051570626
342	0.05128674451
343	0.0510725806
344	0.05085023005
345	0.05056540615
346	0.05026707716
347	0.05001735175
348	0.04971999385
349	0.04949317711
350	0.04926248831
351	0.04914902668
352	0.04893292879
353	0.04870829188
354	0.04854410829
355	0.04830874434
356	0.04809534665
357	0.04790547634
358	0.04770647289
359	0.04736181437
360	0.04708768064
361	0.0468624537
362	0.0466500271
363	0.04639764247
364	0.04613901337
365	0.04594737298
366	0.04568373683
367	0.04543735902
368	0.04513342475
369	0.04488596522
370	0.04463702242
371	0.0444789276
372	0.04425529046
373	0.04403248919
374	0.04386231518
375	0.04368606059
376	0.04350338126
377	0.04331670694
378	0.04309859312
379	0.04293390555
380	0.04270663809
381	0.04246391518
382	0.04231742425
383	0.04208759181
384	0.04186763005
385	0.04169351023
386	0.04147248724
387	0.04120394239
388	0.04101187996
389	0.0407858909
390	0.04056522029
391	0.04041658231
392	0.04026693637
393	0.0400779634
394	0.03986656525
395	0.03972431924
396	0.03951313416
397	0.03930135495
398	0.03911874118
399	0.03893425897
400	0.03879622512
401	0.03861992136
402	0.03846875937
403	0.03828070422
404	0.03810683434
405	0.03792673637
406	0.0377579268
407	0.03761200131
408	0.03746362147
409	0.03734834058
410	0.03726581446
411	0.03715529887
412	0.03701963742
413	0.03687825597
414	0.03669530621
415	0.03657058896
416	0.03636531645
417	0.03617001707
418	0.03605304394
419	0.03587578139
420	0.03570012094
421	0.03551555269
422	0.03530300317
423	0.03520166579
424	0.03508426244
425	0.03491040485
426	0.03484402666
427	0.03465339833
428	0.03453351604
429	0.03436817288
430	0.03419448738
431	0.03401832908
432	0.03391997258
433	0.03377486658
434	0.03365575256
435	0.03353220512
436	0.03334972656
437	0.03323293577
438	0.03312474547
439	0.03299171046
440	0.03281882191
441	0.0326660271
442	0.03251053619
443	0.03234934576
444	0.03221041867
445	0.03209545533
446	0.03194497966
447	0.03184168782
448	0.0317211274
449	0.03160378142
450	0.0314340868
451	0.03129531746
452	0.0311769758
453	0.03102624199
454	0.03089356346
455	0.03069584454
456	0.03057198161
457	0.03044197255
458	0.03029528699
459	0.03016753765
460	0.03000012325
461	0.02988783757
462	0.02977356465
463	0.02965325213
464	0.02949348146
465	0.02942933022
466	0.0293445915
467	0.02921475452
468	0.02909544382
469	0.02899848454
470	0.02888936617
471	0.02877421231
472	0.02861584091
473	0.02849001531
474	0.02837904491
475	0.0282371226
476	0.02811793277
477	0.02799846842
478	0.02787415272
479	0.0277690867
480	0.02762734058
481	0.02752138337
482	0.02738768663
483	0.02728193633
484	0.02716632355
485	0.02705299713
486	0.02694523501
487	0.02683310299
488	0.02673434904
489	0.0266175521
490	0.02652509179
491	0.02638607046
492	0.02626808937
493	0.02618016695
494	0.02606246448
495	0.02593751983
496	0.02582387996
497	0.02573513601
498	0.02566379174
499	0.02555872777
500	0.02545638858
501	0.02536941881
502	0.02528000697
503	0.02517547771
504	0.02506141376
505	0.02491794058
506	0.02477657757
507	0.02467315256
508	0.02455058236
509	0.02445223406
510	0.0243437344
511	0.02426882333
512	0.02418339214
513	0.02411333447
514	0.02405193464
515	0.02394831706
516	0.0238798164
517	0.02380364128
518	0.02371887592
519	0.02362870607
520	0.02352400881
521	0.02344316673
522	0.0233571701
523	0.02328802615
524	0.02320528286
525	0.02312885166
526	0.02304547122
527	0.02295470315
528	0.02286274272
529	0.02275990979
530	0.02268412392
531	0.02258966202
532	0.02250716458
533	0.02244644493
534	0.02238722288
535	0.02231134277
536	0.0222312915
537	0.02215381135
538	0.02209934845
539	0.02199897602
540	0.02191270691
541	0.02184354657
542	0.02174587229
543	0.02167292389
544	0.0215801112
545	0.02148478269
546	0.02139377492
547	0.02130780082
548	0.02123150687
549	0.02116568798
550	0.02110386407
551	0.02102671786
552	0.02097093969
553	0.02090436688
554	0.02081457398
555	0.0207315193
556	0.02066032664
557	0.02059501787
558	0.02051954546
559	0.02046643266
560	0.02038721931
561	0.02030109975
562	0.02026750706
563	0.02021067995
564	0.02014175317
565	0.02008260897
566	0.0199973089
567	0.01991164211
568	0.01981987631
569	0.01974445101
570	0.01969820754
571	0.01963737725
572	0.0195676904
573	0.01949548158
574	0.01942687644
575	0.0193511377
576	0.01928139143
577	0.01921729755
578	0.01912877485
579	0.01905483078
580	0.01899042345
581	0.01891280603
582	0.01885691314
583	0.01880375322
584	0.01873835022
585	0.01867723311
586	0.01860203728
587	0.01855558893
588	0.01850074088
589	0.0184419634
590	0.01838308349
591	0.01831442918
592	0.01825071636
593	0.01818289997
594	0.01813452584
595	0.01807303587
596	0.01801007083
597	0.01795465119
598	0.0179000961
599	0.01786208025
