iter	Passed	Remaining
0	6	3965
1	12	3651
2	19	3850
3	24	3708
4	30	3627
5	36	3581
6	42	3569
7	47	3537
8	53	3499
9	58	3472
10	64	3452
11	69	3427
12	75	3408
13	81	3391
14	86	3369
15	91	3343
16	97	3330
17	103	3330
18	108	3322
19	115	3340
20	121	3337
21	126	3327
22	132	3316
23	138	3312
24	143	3294
25	148	3288
26	154	3280
27	159	3265
28	164	3245
29	170	3236
30	175	3223
31	181	3217
32	187	3214
33	192	3198
34	197	3191
35	203	3185
36	208	3174
37	216	3196
38	221	3188
39	226	3177
40	232	3171
41	238	3163
42	243	3151
43	248	3145
44	254	3138
45	259	3131
46	265	3122
47	270	3115
48	276	3108
49	281	3101
50	287	3092
51	292	3085
52	298	3077
53	303	3071
54	308	3061
55	315	3069
56	321	3062
57	326	3054
58	332	3046
59	336	3031
60	341	3020
61	347	3013
62	352	3007
63	357	2993
64	362	2982
65	366	2967
66	372	2960
67	377	2954
68	382	2942
69	387	2936
70	392	2925
71	397	2917
72	403	2913
73	408	2905
74	415	2909
75	421	2903
76	426	2896
77	431	2886
78	436	2879
79	442	2873
80	446	2862
81	452	2856
82	457	2849
83	463	2844
84	468	2837
85	472	2826
86	478	2821
87	483	2814
88	488	2806
89	493	2799
90	499	2792
91	504	2785
92	509	2779
93	516	2781
94	521	2774
95	527	2769
96	532	2762
97	537	2755
98	542	2746
99	547	2738
100	552	2730
101	557	2724
102	563	2718
103	568	2709
104	573	2704
105	578	2695
106	583	2687
107	589	2683
108	594	2676
109	599	2669
110	604	2662
111	609	2657
112	616	2656
113	621	2650
114	627	2644
115	632	2637
116	637	2631
117	642	2624
118	647	2616
119	652	2611
120	658	2605
121	663	2600
122	668	2592
123	674	2587
124	679	2582
125	684	2574
126	689	2566
127	694	2560
128	699	2554
129	704	2545
130	709	2538
131	715	2538
132	721	2531
133	726	2524
134	731	2518
135	736	2512
136	741	2504
137	746	2499
138	751	2493
139	757	2490
140	762	2483
141	767	2476
142	773	2471
143	778	2466
144	783	2459
145	789	2454
146	794	2449
147	799	2442
148	804	2435
149	809	2428
150	815	2425
151	821	2420
152	826	2415
153	832	2410
154	837	2404
155	842	2397
156	847	2392
157	853	2386
158	857	2379
159	862	2372
160	867	2365
161	873	2360
162	878	2353
163	882	2346
164	887	2340
165	893	2335
166	898	2329
167	903	2324
168	909	2319
169	915	2314
170	921	2312
171	927	2307
172	932	2301
173	938	2297
174	943	2290
175	948	2285
176	953	2279
177	958	2272
178	963	2266
179	969	2262
180	974	2255
181	979	2250
182	984	2244
183	990	2239
184	996	2235
185	1001	2229
186	1006	2222
187	1012	2218
188	1018	2215
189	1023	2209
190	1028	2202
191	1033	2196
192	1038	2189
193	1043	2183
194	1048	2177
195	1053	2171
196	1059	2166
197	1064	2161
198	1069	2155
199	1074	2148
200	1079	2143
201	1085	2137
202	1090	2132
203	1096	2127
204	1101	2122
205	1106	2116
206	1111	2110
207	1117	2106
208	1122	2099
209	1128	2095
210	1134	2091
211	1139	2085
212	1144	2079
213	1149	2073
214	1154	2068
215	1160	2063
216	1165	2057
217	1171	2052
218	1176	2047
219	1182	2041
220	1186	2035
221	1191	2029
222	1197	2024
223	1203	2019
224	1207	2013
225	1212	2006
226	1219	2003
227	1224	1997
228	1229	1992
229	1234	1986
230	1239	1980
231	1245	1974
232	1250	1970
233	1255	1964
234	1260	1957
235	1265	1951
236	1270	1945
237	1275	1940
238	1281	1936
239	1287	1931
240	1292	1926
241	1298	1920
242	1303	1915
243	1308	1909
244	1313	1902
245	1319	1899
246	1325	1893
247	1329	1887
248	1335	1881
249	1340	1877
250	1346	1872
251	1351	1866
252	1356	1859
253	1360	1853
254	1365	1847
255	1370	1842
256	1376	1836
257	1381	1831
258	1387	1826
259	1392	1820
260	1397	1815
